"from","to"
"Magnus, Sandra H.","Wakata, Koichi"
"Magnus, Sandra H.","Lonchakov, Yuri"
"Magnus, Sandra H.","Fincke, E. Michael"
"Fincke, E. Michael","Strekalov, Gennadi"
"Fincke, E. Michael","Thagard, Norman E."
"Fincke, E. Michael","Dezhurov, Vladimir N."
"Fincke, E. Michael","Wakata, Koichi"
"Fincke, E. Michael","Lonchakov, Yuri"
"Fincke, E. Michael","Magnus, Sandra H."
"Solovyev, Anatoly","Budarin, Nikolai"
"Solovyev, Anatoly","Padalka, Gennady"
"Solovyev, Anatoly","Barratt, Michael R."
"Budarin, Nikolai","Solovyev, Anatoly"
"Budarin, Nikolai","Padalka, Gennady"
"Budarin, Nikolai","Barratt, Michael R."
"Padalka, Gennady","Solovyev, Anatoly"
"Padalka, Gennady","Budarin, Nikolai"
"Padalka, Gennady","Barratt, Michael R."
"Barratt, Michael R.","Solovyev, Anatoly"
"Barratt, Michael R.","Budarin, Nikolai"
"Barratt, Michael R.","Padalka, Gennady"
"Savinykh, Viktor","Romanenko, Yuri"
"Savinykh, Viktor","Aleksandrov, Aleksandr"
"Savinykh, Viktor","Laveykin, Aleksandr"
"Savinykh, Viktor","Solovyev, Anatoly"
"Savinykh, Viktor","Voss, James S."
"Savinykh, Viktor","Helms, Susan J."
"Savinykh, Viktor","Yuri Vladimirovich Usachyov"
"Romanenko, Yuri","Savinykh, Viktor"
"Romanenko, Yuri","Aleksandrov, Aleksandr"
"Romanenko, Yuri","Laveykin, Aleksandr"
"Romanenko, Yuri","Solovyev, Anatoly"
"Romanenko, Yuri","Voss, James S."
"Romanenko, Yuri","Helms, Susan J."
"Romanenko, Yuri","Yuri Vladimirovich Usachyov"
"Aleksandrov, Aleksandr","Savinykh, Viktor"
"Aleksandrov, Aleksandr","Romanenko, Yuri"
"Aleksandrov, Aleksandr","Laveykin, Aleksandr"
"Aleksandrov, Aleksandr","Solovyev, Anatoly"
"Aleksandrov, Aleksandr","Voss, James S."
"Aleksandrov, Aleksandr","Helms, Susan J."
"Aleksandrov, Aleksandr","Yuri Vladimirovich Usachyov"
"Laveykin, Aleksandr","Savinykh, Viktor"
"Laveykin, Aleksandr","Romanenko, Yuri"
"Laveykin, Aleksandr","Aleksandrov, Aleksandr"
"Laveykin, Aleksandr","Solovyev, Anatoly"
"Laveykin, Aleksandr","Voss, James S."
"Laveykin, Aleksandr","Helms, Susan J."
