"name","sex","year_of_birth","nationality","military_civilian","total_number_of_missions","total_hrs_sum","sex_color"
"Malenchenko, Yuri","male",1961,"U.S.S.R/Russia","military",6,16872.47,"blue"
"Malyshev, Yuri","male",1941,"U.S.S.R/Russia","military",2,283.98,"blue"
"Manakov, Gennadi","male",1950,"U.S.S.R/Russia","military",2,7437.3,"blue"
"Manarov, Musa","male",1951,"U.S.S.R/Russia","military",2,12984.47,"blue"
"Marshburn, Thomas H.","male",1960,"U.S.","military",2,3870,"blue"
"Massimino, Michael J.","male",1962,"U.S.","civilian",2,517.8,"blue"
"Mastracchio, Richard A.","male",1960,"U.S.","civilian",4,5460,"blue"
"Mattingly, Thomas K., II","male",1936,"U.S.","military",3,508,"blue"
"McArthur, K. Megan","female",1971,"U.S.","civilian",1,309,"pink"
"McArthur, William S., Jr.","male",1951,"U.S.","military",4,5396,"blue"
"McAuliffe, Sharon Christa Corrigan","female",1948,"U.S.","civilian",1,0.61,"pink"
"McBride, Jon A.","male",1943,"U.S.","military",1,197,"blue"
"McCandless, Bruce, II","male",1937,"U.S.","military",2,312,"blue"
"McClain, Anne Charlotte","female",1979,"U.S.","military",1,4887,"pink"
"McCool, William C.","male",1961,"U.S.","military",1,382,"blue"
"McCulley, Michael J.","male",1943,"U.S.","military",1,119,"blue"
"McDivitt, James A.","male",1929,"U.S.","military",2,338,"blue"
"McMonagle, Donald R.","male",1952,"U.S.","military",3,604,"blue"
"McNair, Ronald E.","male",1950,"U.S.","civilian",2,191,"blue"
"Meade, Carl J.","male",1950,"U.S.","military",3,710,"blue"
"Meir, Jessica","female",1977,"U.S.","civilian",1,2697.6,"pink"
"Melnick, Bruce E.","male",1949,"U.S.","military",2,311,"blue"
"Melroy, Pamela A.","female",1961,"U.S.","military",3,930,"pink"
"Melvin, Leland D.","male",1964,"U.S.","civilian",2,565,"blue"
"Merbold, Ulf","male",1941,"Germany","civilian",3,1197.6,"blue"
"Messerschmid, Ernst Willi","male",1945,"Germany","military",1,168.73,"blue"
"Metcalf-Lindenburger, Dorothy M.","female",1975,"U.S.","civilian",1,362,"pink"
"Misurkin, Aleksandr","male",1977,"U.S.S.R/Russia","military",2,8027.5,"blue"
"Mitchell, Edgar D.","male",1930,"U.S.","military",1,216,"blue"
"Mogensen, Andreas","male",1976,"Denmark","civilian",1,236.23,"blue"
"Mohmand, Abdul Ahad","male",1959,"Afghanistan","military",1,212,"blue"
"Mohri, Mamoru","male",1948,"Japan","civilian",2,190.5,"blue"
"Morgan, Andrew","male",1976,"U.S.","military",1,4303.08,"blue"
"Morgan, Barbara R.","female",1951,"U.S.","civilian",1,305,"pink"
"Morin, Lee M.","male",1952,"U.S.","military",1,259,"blue"
"Morukov, Boris","male",1950,"U.S.S.R/Russia","civilian",1,283.2,"blue"
"Mukai, Chiaki","female",1952,"Japan","civilian",2,568,"pink"
"Mullane, Richard M.","male",1945,"U.S.","military",3,356,"blue"
"Musabayev, Talgat","male",1951,"U.S.S.R/Russia","military",3,8193.8,"blue"
"Musgrave, Franklin Story","male",1935,"U.S.","civilian",6,1281,"blue"
"Nagel, Steven R.","male",1946,"U.S.","military",4,522,"blue"
"Nelson, George D.","male",1950,"U.S.","civilian",3,411,"blue"
"Nelson, William Clarence","male",1942,"U.S.","civilian",1,6.03,"blue"
"Neri Vela, Rodolfl","male",1952,"Mexico","civilian",1,165.67,"blue"
"Nespoli, Paolo A.","male",1957,"Italy","military",3,7514.61,"blue"
